,type,syllables,word_type,definitions,extras,query,lang,country,termid,title,link,displayed_link,date,snippet,refinements,people_also_search_for,about_this_result,about_page_link,thumbnail,list
0,dictionary_results,mal·nu·tri·tion,noun,"['lack of proper nutrition, caused by not having enough to eat, not eating enough of the right things, or being unable to use the food that one does eat.']","['malnourishment', 'undernutrition', 'inanition', 'starvation', 'hunger', 'famine', 'anorexia']",Malnutrition,en,US,53,,,,,,,,,,,
0,organic_result,,,,,Food Security,en,US,54,"What is Food Security? Food security means having, at all times, both physical and economic access to sufficient food to meet dietary needs for a productive and healthy life. A family is food secure when its members do not live in hunger or fear of hunger.Feb 3, 2022","https://www.usaid.gov/what-we-do/agriculture-and-food-security#:~:text=What%20is%20Food%20Security%3F&text=Food%20security%20means%20having%2C%20at,hunger%20or%20fear%20of%20hunger.",https://www.usaid.gov › what-we-do › agriculture-and-fo...,"Feb 3, 2022","What is Food Security? Food security means having, at all times, both physical and economic access to sufficient food to meet dietary needs for a productive and healthy life. A family is food secure when its members do not live in hunger or fear of hunger.","['definitions', 'problem', 'sustainable', 'policy', 'photos', 'diagram', 'report', 'certificate', 'news']",[],"{'source': {'description': 'The United States Agency for International Development is an independent agency of the U.S. federal government that is primarily responsible for administering civilian foreign aid and development assistance.', 'source_info_link': 'https://en.wikipedia.org/wiki/United_States_Agency_for_International_Development', 'icon': 'https://serpapi.com/searches/627cfeba8e02e41ac824e565/images/2b5b6e6d590d778d4848e5834d8b6cb458ef19ba85df1cd1eceb5e1711526bf30f00c5d70762c340e89c86f0d666774f.png'}, 'keywords': ['food', 'security'], 'languages': ['English'], 'regions': ['the United States']}",https://www.google.com/search?q=About+https://www.usaid.gov/what-we-do/agriculture-and-food-security&tbm=ilp&ilps=ADNMCi3T8nVnSyZx2Epl9AtDBh66IpYGYw,,
0,dictionary_results,cal·o·rie,noun,"['the energy needed to raise the temperature of 1 gram of water through 1 °C (now usually defined as 4.1868 joules).', 'the energy needed to raise the temperature of 1 kilogram of water through 1 °C, equal to one thousand small calories and often used to measure the energy value of foods.']",,Calorie,en,US,56,,,,,,,,,,,
0,organic_result,,,,,Renewable Energy,en,US,58,"Renewable energy is energy that is collected from renewable resources that are naturally replenished on a human timescale. It includes sources such as sunlight, wind, rain, tides, waves, and geothermal heat. Although most renewable energy sources are sustainable, some are not.","https://en.wikipedia.org/wiki/Renewable_energy#:~:text=Renewable%20energy%20is%20energy%20that,are%20sustainable%2C%20some%20are%20not.",https://en.wikipedia.org › wiki › Renewable_energy,,"Renewable energy is energy that is collected from renewable resources that are naturally replenished on a human timescale. It includes sources such as sunlight, wind, rain, tides, waves, and geothermal heat. Although most renewable energy sources are sustainable, some are not.",,[],"{'source': {'description': 'Wikipedia is a multilingual open online encyclopedia written and maintained by a community of volunteers through open collaboration and a wiki-based editing system. Individual contributors, also called editors, are known as Wikipedians. Wikipedia is the largest and most-read reference work in history.', 'source_info_link': 'https://en.wikipedia.org/wiki/Wikipedia', 'icon': 'https://serpapi.com/searches/627cfec8a4be10eb3ec51af0/images/b8e989e4624654784bf9aa045a847942ac76aed6e061f91a47018d799111f6117b7d093b0c1cf28f1022f0ee74c67d7a.png'}, 'keywords': ['renewable', 'energy'], 'languages': ['English'], 'regions': ['the United States']}",https://www.google.com/search?q=About+https://en.wikipedia.org/wiki/Renewable_energy&tbm=ilp&ilps=ADNMCi2jEpaee-MBteuKRa4owChBVHwkWQ,,
0,organic_result,,,,,Greenhouse gas,en,US,66,"What Are Greenhouse Gases? Earth's greenhouse gases trap heat in the atmosphere and warm the planet. The main gases responsible for the greenhouse effect include carbon dioxide, methane, nitrous oxide, and water vapor (which all occur naturally), and fluorinated gases (which are synthetic).Jul 16, 2019",https://www.nrdc.org/stories/greenhouse-effect-101,https://www.nrdc.org › stories › greenhouse-effect-101,"Jul 16, 2019","What Are Greenhouse Gases? Earth's greenhouse gases trap heat in the atmosphere and warm the planet. The main gases responsible for the greenhouse effect include carbon dioxide, methane, nitrous oxide, and water vapor (which all occur naturally), and fluorinated gases (which are synthetic).","['sample', 'diagram', 'pollution', 'bulletin', 'photos']",[],"{'source': {'description': 'The Natural Resources Defense Council is a United States-based 501 non-profit international environmental advocacy group, with its headquarters in New York City and offices in Washington D.C., San Francisco, Los Angeles, New Delhi, Chicago, Bozeman, and Beijing.', 'source_info_link': 'https://en.wikipedia.org/wiki/Natural_Resources_Defense_Council', 'icon': 'https://serpapi.com/searches/627cfed6d04d6d206e7d9ac0/images/1c85dbef05beabc9516a50af262684ae328b946457debcdbf83eac10c78fed81e52ccb466d4fc0b088c15f46924e09bb.png'}, 'keywords': ['greenhouse', 'gas'], 'related_keywords': ['effect'], 'languages': ['English'], 'regions': ['the United States']}",https://www.google.com/search?q=About+https://www.nrdc.org/stories/greenhouse-effect-101&tbm=ilp&ilps=ADNMCi0HhwJAMxMcKzKZqZ5_hkjfotUb4g,https://serpapi.com/searches/627cfed6d04d6d206e7d9ac0/images/1c85dbef05beabc9d7e47f526b3d6c9db8d92023d8f66a45.jpeg,
0,dictionary_results,in·fec·tion,noun,"['the process of infecting or the state of being infected.', 'an infectious disease.', 'the presence of a virus in, or its introduction into, a computer system.']","['contamination', 'poison', 'septicemia', 'inflammation', 'germs', 'bacteria', 'microbes', 'sepsis', 'disease', 'virus', 'contagion', 'disorder', 'condition', 'affliction', 'problem', 'complaint', 'illness', 'ailment', 'sickness', 'infirmity', 'indisposition', 'bug']",Infection,en,US,68,,,,,,,,,,,
0,organic_result,,,,,Drought,en,US,71,"A drought is “a deficiency of precipitation over an extended period of time (usually a season or more), resulting in a water shortage.” Indicators of drought include precipitation, temperature, streamflow, ground and reservoir water levels, soil moisture, and snowpack.","https://www.c2es.org/content/drought-and-climate-change/#:~:text=A%20drought%20is%20%E2%80%9Ca%20deficiency,%2C%20soil%20moisture%2C%20and%20snowpack.",https://www.c2es.org › content › drought-and-climate-cha...,,"A drought is “a deficiency of precipitation over an extended period of time (usually a season or more), resulting in a water shortage.” Indicators of drought include precipitation, temperature, streamflow, ground and reservoir water levels, soil moisture, and snowpack.",,[],"{'source': {'description': 'The Center for Climate and Energy Solutions is an environmental nonprofit organization based in Arlington, Virginia. Launched in 2011, C2ES is the successor to the Pew Center on Global Climate Change.', 'source_info_link': 'https://en.wikipedia.org/wiki/Center_for_Climate_and_Energy_Solutions', 'icon': 'https://serpapi.com/searches/627cfee1437af282fc44eea9/images/655b87281d64bbd01078bf31bc21f33ee94cb0164daebd059cbd8af2d68212b860f7a1dbfda25381e1ea0c99a1f6b001.png'}, 'keywords': ['drought'], 'languages': ['English'], 'regions': ['the United States']}",https://www.google.com/search?q=About+https://www.c2es.org/content/drought-and-climate-change/&tbm=ilp&ilps=ADNMCi0NCA4JiH-KcjBhJ2b1DhQ4To4Maw,,
0,organic_result,,,,,Malnutrition,en,NG,53,"Malnutrition refers to deficiencies or excesses in nutrient intake, imbalance of essential nutrients or impaired nutrient utilization. The double burden of malnutrition consists of both undernutrition and overweight and obesity, as well as diet-related noncommunicable diseases.","https://www.who.int/health-topics/malnutrition#:~:text=Malnutrition%20refers%20to%20deficiencies%20or,as%20diet%2Drelated%20noncommunicable%20diseases.",https://www.who.int › Health topics,,"Malnutrition refers to deficiencies or excesses in nutrient intake, imbalance of essential nutrients or impaired nutrient utilization. The double burden of malnutrition consists of both undernutrition and overweight and obesity, as well as diet-related noncommunicable diseases.",,[],"{'source': {'description': 'The World Health Organization is a specialized agency of the United Nations responsible for international public health. The WHO Constitution states its main objective as ""the attainment by all peoples of the highest possible level of health"".', 'source_info_link': 'https://en.wikipedia.org/wiki/World_Health_Organization', 'icon': 'https://serpapi.com/searches/627cfee434ff95c28f3e37b7/images/eb1bb91a8e441d97b09df5fa15a1ea674981f92f4a6f98251514becab98e1d48cbaeb2d4d3bb8222acad72876a14de12.png'}}",https://www.google.com/search?q=About+https://www.who.int/health-topics/malnutrition&tbm=ilp&ilps=ADNMCi2naS4IiC1_9r9mb4JWsWLEgaRJ0w,https://serpapi.com/searches/627cfee434ff95c28f3e37b7/images/eb1bb91a8e441d975bf9afdda795ee85d6a355c1e7b4cde5.jpeg,
0,organic_result,,,,,Food Security,en,NG,54,"What is Food Security? Food security means having, at all times, both physical and economic access to sufficient food to meet dietary needs for a productive and healthy life. A family is food secure when its members do not live in hunger or fear of hunger.3 Feb 2022","https://www.usaid.gov/what-we-do/agriculture-and-food-security#:~:text=What%20is%20Food%20Security%3F&text=Food%20security%20means%20having%2C%20at,hunger%20or%20fear%20of%20hunger.",https://www.usaid.gov › what-we-do › agriculture-and-fo...,3 Feb 2022,"What is Food Security? Food security means having, at all times, both physical and economic access to sufficient food to meet dietary needs for a productive and healthy life. A family is food secure when its members do not live in hunger or fear of hunger.","['definitions', 'problem', 'sustainable', 'policy', 'photos', 'diagram', 'report', 'certificate', 'news']",[],"{'source': {'description': 'The United States Agency for International Development is an independent agency of the U.S. federal government that is primarily responsible for administering civilian foreign aid and development assistance.', 'source_info_link': 'https://en.wikipedia.org/wiki/United_States_Agency_for_International_Development', 'icon': 'https://serpapi.com/searches/627cfee8edb0348ea0a0e39f/images/d0d2e51f4d22bdb4baee32504de497932b02d54e228327fe2673c865c3ef25b4492c24c520a1169c24ae9f83b1128c1f.png'}}",https://www.google.com/search?q=About+https://www.usaid.gov/what-we-do/agriculture-and-food-security&tbm=ilp&ilps=ADNMCi3T8nVnSyZx2Epl9AtDBh66IpYGYw,,
0,organic_result,,,,,Calorie,en,NG,56,"A calorie is a measurement, just like a teaspoon or an inch. Calories are the amount of energy released when your body breaks down (digests and absorbs) food. The more calories a food has, the more energy it can provide to your body.25 Apr 2019",https://my.clevelandclinic.org/health/articles/4182-fat-and-calories,https://my.clevelandclinic.org › health › articles › 4182-fa...,25 Apr 2019,"A calorie is a measurement, just like a teaspoon or an inch. Calories are the amount of energy released when your body breaks down (digests and absorbs) food. The more calories a food has, the more energy it can provide to your body.","['chicken breast', 'mashed potato', 'white bread', 'spaghetti', 'quinoa', 'lentil', 'chicken wings', 'cauliflower', 'beef', 'chicken thigh']",[],"{'source': {'description': 'Cleveland Clinic is a nonprofit American academic medical center based in Cleveland, Ohio. Owned and operated by the Cleveland Clinic Foundation, an Ohio nonprofit corporation established in 1921, it ...', 'source_info_link': 'https://en.wikipedia.org/wiki/Cleveland_Clinic', 'icon': 'https://serpapi.com/searches/627cfef05b54ef20a59cee14/images/b37cfe6464edb7e9d7de872039a9e087ebe87665563afdeb9609ce634bbd853c482746439d3153b8ef081e87c8879f6b.png'}}",https://www.google.com/search?q=About+https://my.clevelandclinic.org/health/articles/4182-fat-and-calories&tbm=ilp&ilps=ADNMCi15C9EVpHCofY7caVgkmgEnQi0gtw,,
