,topic,language,url,title,summery,Clearance definition,Content,Visualization ,Profesional looking site ,adds
1,Mammal,english,https://en.wikipedia.org,Mammal - Wikipedia,"Mammals (from Latin mamma, 'breast') are a group of vertebrates constituting the class Mammalia characterized by the presence of mammary glands which in ...",3,3,3,3,No
2,Mammal,english,https://www.britannica.com,"mammal | Definition, Characteristics, Classification ...","mammal, (class Mammalia), any member of the group of vertebrate animals in which the young are nourished with milk from special mammary glands of the mother ...",3,3,3,3,No
3,Mammal,english,https://kids.nationalgeographic.com,Mammals - National Geographic Kids,Mammals include humans and all other animals that are warm-blooded vertebrates (vertebrates have backbones) with hair. They feed their young with milk and ...,2,2,3,3,No
4,Mammal,english,https://www.nationalgeographic.com,Mammal Pictures & Facts - National Geographic,"Mammals are among the most adaptable animals on the planet. They are found on every continent and in every ocean, and range in size from tiny bumblebee bats ...",3,1,2,3,No
5,Mammal,english,https://www.merriam-webster.com,Mammal Definition & Meaning - Merriam-Webster,"The meaning of MAMMAL is any of a class (Mammalia) of warm-blooded higher vertebrates (such as placentals, marsupials, or monotremes) that nourish their ...",3,2,1,3,Yes 
6,Mammal,english,https://www.nwf.org,Mammals | National Wildlife Federation,"Mammals—a group that include humans—are warm-blooded animals with hair and vertebrates, or backbones. Unlike other classes of animals, female mammals ...",3,3,3,3,No
7,Mammal,english,https://www.dictionary.com,Mammal Definition & Meaning | Dictionary.com,"Mammal definition, any vertebrate of the class Mammalia, having the body more or less covered with hair, nourishing the young with milk from the mammary ...",3,2,1,2,Yes 
8,Mammal,english,https://manoa.hawaii.edu,What is a Mammal? - University of Hawaii at Manoa,"Mammals are a group of vertebrate animals. Examples of mammals include rats, cats, dogs, deer, monkeys, apes, bats, whales, dolphins, and humans.",3,3,3,2,No
9,Mammal,hebrew,https://he.wikipedia.org,יונקים - ויקיפדיה,"הפורטל מציג את סדרות היונקים, מידע, תמונות, סרטונים, ערכים חדשים וערכים מומלצים. ברווזן, יונק מטיל ביצים מסדרת יונקי הביב (בשחייה).",3,3,3,3,No
10,Mammal,hebrew,https://he.wikipedia.org,פורטל:יונקים - ויקיפדיה,"המאפיין המובהק ביותר של היונקים הוא קיומן של בלוטות חלב, שבאמצעותן מזינה האם את ...",3,3,3,3,No
11,Mammal,hebrew,https://il.brainpop.com,יונקים - בריינפופ ישראל,"נכון מאוד, כולם בני משפחת היונקים! הצטרפו לתום ומובי, ולמדו על משפחה זו ועל מאפייניה. תבינו מהם בעלי חיים הומיאותרמיים ומהו יונק כיס ותכירו את בעלי הביב ...",2,2,1,1,No
12,Mammal,hebrew,https://www.haifazoo.co.il,מחלקות הגן יונקים - גן החיות הלימודי חיפה,הימצאותם של ארבעה סוגי שיניים מסייעת להם לאכול מזונות מסוגים שונים. בקרב היונקים שלוש סדרות (נציגי שתיים מהן נמצאות בגן החיות שלנו): יונקי ביב – בעל ביב מטיל ...,3,2,3,3,No
13,Mammal,hebrew,https://www.hamichlol.org.il,יונקים - – המכלול,"1 בספט׳ 2019 — המאפיין המובהק ביותר של היונקים (ממנו נגזר שמה של המחלקה) הוא קיומן של בלוטות חלב, שבאמצעותן מזינה האם את צאצאיה. קריאת טבלת מיון יונקים. מינים ...",3,3,3,3,No
14,Mammal,hebrew,https://www.tiuli.com,רשימת בעלי חיים בישראל מסוג יונק - טיולי,"זאב אפור. הזאב הוא יונק טורף ממשפחת הכלביים, מאבותיהם של הכלבים המבויתים. נפוץ בצפון הארץ ובדרומה, בעיקר בגולן ובנגב. קי…",2,2,3,3,Yes 
15,Mammal,hebrew,https://www.hamaarag.org.il,השפעת האדם על בעלי חיים בישראל : יונקים שנצפו במצלמות המעקב,"יונקים בישראל, גם טורפים וגם צמחוניים, מושפעים מפעילות האדם. איך ולמה? מיהם היונקים הכי נפוצים בישראל ומדוע? הכל על תהליכים בחברת היונקים בישראל באתר המארג.",1,2,2,2,No
16,Mammal,hebrew,https://goarava.co.il,יונקים - תיירות ערבה,חתול קטן שראשו רחב ושטוח וצבעו חום אפרפר. ... חתול גדול הידוע בציצת השיער הארוכה והשחורה הבולטת מקצות אוזניו. ... הגדול בחתוליים בישראל. ... שועל קטן ובהיר שצבע ...,1,2,3,2,No
17,Mammal,hebrew,https://he.wiktionary.org,יונק - ויקימילון,"מבחר יונקים (2). לשון המקרא עולל, תינוק בשלב ינקותו. ”וְשִׁעֲשַׁע יוֹנֵק עַל-חֻר פָּתֶן, וְעַל מְאוּרַת צִפְעוֹנִי גָּמוּל יָדוֹ ...",3,2,1,2,Yes 
18,Mammal,russian,https://ru.wikipedia.org,Млекопитающие - Википедия,"Млекопита́ющие (лат. Mammalia) — класс позвоночных животных, основной отличительной особенностью которых является вскармливание детёнышей молоком.",3,3,3,3,No
19,Mammal,russian,https://ru.wikipedia.org,Список млекопитающих России - Википедия,"Список млекопитающих России включает около 300 видов класса Млекопитающие, обитающих, или обитавших в историческое время на территории России, а также виды, ...",2,3,3,3,No
