,question,snippet,title,link,displayed_link,list,query,lang,country,termid
0,What are the 4 types of malnutrition?,"There are 4 broad sub-forms of undernutrition: wasting, stunting, underweight, and deficiencies in vitamins and minerals.Jun 9, 2021",Fact sheets - Malnutrition - WHO | World Health Organization,https://www.who.int/news-room/fact-sheets/detail/malnutrition,https://www.who.int › Newsroom › Fact sheets › Detail,,Malnutrition,en,US,53
1,What are the symptoms of being malnutrition?,,Other symptoms of malnutrition include:,https://www.nhs.uk/conditions/malnutrition/symptoms/,https://www.nhs.uk › Health A to Z › Malnutrition,"['reduced appetite.', 'lack of interest in food and drink.', 'feeling tired all the time.', 'feeling weaker.', 'getting ill often and taking a long time to recover.', 'wounds taking a long time to heal.', 'poor concentration.', 'feeling cold most of the time.']",Malnutrition,en,US,53
2,What happens to your body when you are malnourished?,"Malnutrition can result in unplanned weight loss, a low body mass index (BMI) and vitamin and mineral deficiencies. This can leave you feeling tired, weak and affect your ability to recover from an illness.May 17, 2021",Malnutrition | NHS inform,https://www.nhsinform.scot/illnesses-and-conditions/nutritional/malnutrition,https://www.nhsinform.scot › nutritional › malnutrition,,Malnutrition,en,US,53
3,What causes malnutrition?,"Malnutrition (undernutrition) is caused by a lack of nutrients, either as a result of a poor diet or problems absorbing nutrients from food. Certain things can increase your risk of becoming malnourished.",Malnutrition – Causes - NHS,https://www.nhs.uk/conditions/malnutrition/causes/,https://www.nhs.uk › conditions › malnutrition › causes,,Malnutrition,en,US,53
0,What do we mean by food security?,"Food Security. “Food security exists when all people, at all times, have physical and economic access to sufficient, safe and nutritious food that meets their dietary needs and food preferences for an active and. healthy life”. (",Food Security,https://www.fao.org/fileadmin/templates/faoitaly/documents/pdf/pdf_Food_Security_Cocept_Note.pdf,https://www.fao.org › pdf_Food_Security_Cocept_Note,,Food Security,en,US,54
1,What are the 5 components of food security?,,Definitions,https://www.tabledebates.org/building-blocks/what-food-security,https://www.tabledebates.org › building-blocks › what-fo...,"['Food security. ... ', 'Availability of food. ... ', 'Access to food. ... ', 'Utilisation of food. ... ', 'Stability. ... ', 'Malnutrition.']",Food Security,en,US,54
2,What is food security example?,"Examples include soup kitchens, food banks, school lunch programs, and other programs that give food to people in need without requiring any type of commitment in return.Jan 9, 2015",What is Food Security? - Resilience.org,https://www.resilience.org/stories/2015-01-09/what-is-food-security/,https://www.resilience.org › stories › what-is-food-security,,Food Security,en,US,54
3,What is importance of food security?,"Apart from basic nutrition, food security is linked to economic stability, long-term health, women's empowerment and the environment. Food security impacts our health - especially children's. Research reveals that food insecurity can result in ongoing short and long-term health problems.May 27, 2020",The basics of food security (and how it's tied to everything),https://www.worldvision.ca/stories/food/the-basics-of-food-security,https://www.worldvision.ca › stories › the-basics-of-food-...,,Food Security,en,US,54
0,What is calorie in food?,"The amount of energy in an item of food or drink is measured in calories. When we eat and drink more calories than we use up, our bodies store the excess as body fat.",Understanding calories - NHS,https://www.nhs.uk/live-well/healthy-weight/managing-your-weight/understanding-calories/,https://www.nhs.uk › live-well › managing-your-weight,,Calorie,en,US,56
1,How much is a calorie?,The definition of a calorie is the amount of energy needed to raise the temperature of 1 gram (g) of water through 1° Celsius. The type and amount of food we eat determine how many calories we consume.,"Calories: Recommended intake, burning calories, tips, and daily ...",https://www.medicalnewstoday.com/articles/245588,https://www.medicalnewstoday.com › articles,,Calorie,en,US,56
2,How many calories should I eating a day?,"Though it differs depending on age and activity level, adult males generally require 2,000-3000 calories per day to maintain weight while adult females need around 1,600-2,400 according to the U.S Department of Health.",Calorie Calculator,https://www.calculator.net/calorie-calculator.html,https://www.calculator.net › fitness & health,,Calorie,en,US,56
3,What is the difference between calorie and calorie?,"The ""calorie"" we refer to in food is actually kilocalorie. One (1) kilocalorie is the same as one (1) Calorie (uppercase C). A kilocalorie is the amount of heat required to raise the temperature of one kilogram of water one degree Celsius.",What is the difference between calories and kilocalories?,https://www.nal.usda.gov/legacy/fnic/what-difference-between-calories-and-kilocalories,https://www.nal.usda.gov › legacy › fnic › what-differenc...,,Calorie,en,US,56
0,What are the 5 types of renewable energy?,,There are five major renewable energy sources,https://www.eia.gov/energyexplained/what-is-energy/sources-of-energy.php,https://www.eia.gov › energyexplained › sources-of-energy,"['Solar energy from the sun.', 'Geothermal energy from heat inside the earth.', 'Wind energy.', 'Biomass from plants.', 'Hydropower from flowing water.']",Renewable Energy,en,US,58
1,What are the 7 types of renewable energy?,,What are 7 Types of Renewable Energy?,https://www.igs.com/energy-resource-center/energy-101/types-of-renewable-energy,https://www.igs.com › energy-resource-center › energy-101,"[""Solar. By using photovoltaic cells to capture and convert the sun's rays into electricity, solar panels transform light into usable energy. ... "", 'Wind Energy. ... ', 'Hydroelectric. ... ', 'Ocean Energy. ... ', 'Geothermal Energy. ... ', 'Biomass. ... ', 'Hydrogen.']",Renewable Energy,en,US,58
2,What means of renewable energy?,Renewable energy is energy from sources that are naturally replenishing but flow-limited; renewable resources are virtually inexhaustible in duration but limited in the amount of energy that is available per unit of time. The major types of renewable energy sources are: Biomass. Wood and wood waste.,Renewable energy explained - EIA,https://www.eia.gov/energyexplained/renewable-sources/,https://www.eia.gov › renewable-sources,,Renewable Energy,en,US,58
3,What are renewable energy 3 examples?,"Renewable resources include solar energy, wind, falling water, the heat of the earth (geothermal), plant materials (biomass), waves, ocean currents, temperature differences in the oceans and the energy of the tides.",CHAPTER 1. RENEWABLE ENERGY OVERVIEW - Organization of ...,https://www.oas.org/dsd/publications/Unit/oea79e/ch05.htm,https://www.oas.org › dsd › publications › Unit,,Renewable Energy,en,US,58
0,What are the 5 effects of climate change?,"More frequent and intense drought, storms, heat waves, rising sea levels, melting glaciers and warming oceans can directly harm animals, destroy the places they live, and wreak havoc on people's livelihoods and communities.",Effects of Climate Change | Threats | WWF,https://www.worldwildlife.org/threats/effects-of-climate-change,https://www.worldwildlife.org › threats › effects-of-climat...,,Climate change,en,US,59
1,What is climate change simple definition?,"Climate change is a long-term change in the average weather patterns that have come to define Earth's local, regional and global climates. These changes have a broad range of observed effects that are synonymous with the term.","Overview: Weather, Global Warming and Climate Change",https://climate.nasa.gov/resources/global-warming-vs-climate-change/,https://climate.nasa.gov › resources › global-warming-vs-...,,Climate change,en,US,59
2,What happens in climate change?,Temperatures are rising world-wide due to greenhouse gases trapping more heat in the atmosphere. Droughts are becoming longer and more extreme around the world. Tropical storms becoming more severe due to warmer ocean water temperatures.,Why is climate change happening and what are the causes? - USGS,https://www.usgs.gov/faqs/why-climate-change-happening-and-what-are-causes,https://www.usgs.gov › faqs › why-climate-change-happe...,,Climate change,en,US,59
3,How will climate change affect us?,"Climate change can also impact human health by worsening air and water quality, increasing the spread of certain diseases, and altering the frequency or intensity of extreme weather events. Rising sea level threatens coastal communities and ecosystems.Mar 8, 2022",Impacts of Climate Change | US EPA,https://www.epa.gov/climatechange-science/impacts-climate-change,https://www.epa.gov › climatechange-science › impacts-cl...,,Climate change,en,US,59
0,What causes soil contamination?,"In urban areas, soil contamination is largely caused by human activities. Some examples are manufacturing, industrial dumping, land development, local waste disposal, and excessive pesticide or fertilizer use.",Soil contaminants,https://www.soils.org/about-soils/contaminants,https://www.soils.org › about-soils › contaminants,,Soil contamination,en,US,65
1,What does contaminated soil mean?,Contaminated soil means soil or sediment or fill material containing substances in quantities or concentrations greater than those specified in the Contaminated Sites Regulation but is not a Hazardous Waste as identified in the Hazardous Waste Regulation.,Contaminated soil Definition: 135 Samples | Law Insider,https://www.lawinsider.com/dictionary/contaminated-soil,https://www.lawinsider.com › dictionary › contaminated-s...,,Soil contamination,en,US,65
