,position,title,link,displayed_link,date,snippet,snippet_highlighted_words,sitelinks,about_this_result,about_page_link,cached_page_link,related_pages_link,rich_snippet,query,lang,country,termid,related_results,related_questions,thumbnail,images
0,1,Fact sheets - Malnutrition - WHO | World Health Organization,https://www.who.int/news-room/fact-sheets/detail/malnutrition,https://www.who.int › Newsroom › Fact sheets › Detail,"Jun 9, 2021","Malnutrition refers to deficiencies, excesses, or imbalances in a person's intake of energy and/or nutrients. The term malnutrition ...","['Malnutrition', 'malnutrition']","{'inline': [{'title': 'Key Facts', 'link': 'https://www.who.int/news-room/fact-sheets/detail/malnutrition#:~:text=Key%20facts'}, {'title': 'Undernutrition', 'link': 'https://www.who.int/news-room/fact-sheets/detail/malnutrition#:~:text=Undernutrition,-There%20are%204%20broad%20sub'}, {'title': 'Micronutrient-Related...', 'link': 'https://www.who.int/news-room/fact-sheets/detail/malnutrition#:~:text=Micronutrient%2Drelated%20malnutrition,-Inadequacies%20in%20intake%20of%20vitamins'}]}","{'source': {'description': 'The World Health Organization is a specialized agency of the United Nations responsible for international public health. The WHO Constitution states its main objective as ""the attainment by all peoples of the highest possible level of health"".', 'source_info_link': 'https://en.wikipedia.org/wiki/World_Health_Organization', 'icon': 'https://serpapi.com/searches/627cfeb72ff421d0610e878f/images/80f83d4d8ab856f180ad7583d7a173213c25c02d3d2b3977bc08257c45a813ae053ed88cb75af3d58b504622284b3edb.png'}, 'keywords': ['malnutrition'], 'languages': ['English'], 'regions': ['the United States']}",https://www.google.com/search?q=About+https://www.who.int/news-room/fact-sheets/detail/malnutrition&tbm=ilp&ilps=ADNMCi0k-Z1JyUV12vqwW685Mv8qXxmNkQ,https://webcache.googleusercontent.com/search?q=cache:BCsyBTg9Y0cJ:https://www.who.int/news-room/fact-sheets/detail/malnutrition+&cd=10&hl=en&ct=clnk&gl=us,,,Malnutrition,en,US,53,,,,
1,2,Malnutrition | Johns Hopkins Medicine,https://www.hopkinsmedicine.org/health/conditions-and-diseases/malnutrition,https://www.hopkinsmedicine.org › health › malnutrition,,"Malnutrition is the condition that develops when the body is deprived of vitamins, minerals and other nutrients it needs to maintain healthy tissues and ...",['Malnutrition'],"{'inline': [{'title': 'What Is Malnutrition?', 'link': 'https://www.hopkinsmedicine.org/health/conditions-and-diseases/malnutrition#:~:text=What%20is%20malnutrition%3F'}, {'title': 'Symptoms', 'link': 'https://www.hopkinsmedicine.org/health/conditions-and-diseases/malnutrition#:~:text=Symptoms,-Malnourished%20children%20may%20be%20short'}, {'title': 'Treatment', 'link': 'https://www.hopkinsmedicine.org/health/conditions-and-diseases/malnutrition#:~:text=Treatment,-Patients%20who%20cannot%20or%20will'}]}","{'source': {'description': 'hopkinsmedicine.org was first indexed by Google more than 10 years ago', 'icon': 'https://serpapi.com/searches/627cfeb72ff421d0610e878f/images/80f83d4d8ab856f180ad7583d7a173215802c14b5a69e7220bba94ee5ac0cb5d1bb1861bce1bbccd8db364cafe3e7e00.png'}, 'keywords': ['malnutrition'], 'languages': ['English'], 'regions': ['the United States']}",https://www.google.com/search?q=About+https://www.hopkinsmedicine.org/health/conditions-and-diseases/malnutrition&tbm=ilp&ilps=ADNMCi2wzxaxwVcHnS5GOZ0_liz_3MX9fA,https://webcache.googleusercontent.com/search?q=cache:fHJZBFwTvIIJ:https://www.hopkinsmedicine.org/health/conditions-and-diseases/malnutrition+&cd=11&hl=en&ct=clnk&gl=us,,,Malnutrition,en,US,53,,,,
2,3,"Malnutrition: Symptoms, causes, diagnosis, and treatment",https://www.medicalnewstoday.com/articles/179316,https://www.medicalnewstoday.com › articles,,Malnutrition is an imbalance in dietary intake. It occurs when a person has too much or too little food or essential nutrients. A person with malnutrition ...,"['Malnutrition', 'malnutrition']","{'inline': [{'title': 'Anorexia nervosa', 'link': 'https://www.medicalnewstoday.com/articles/267432'}, {'title': 'Kwashiorkor', 'link': 'https://www.medicalnewstoday.com/articles/322453'}, {'title': 'Marasmus', 'link': 'https://www.medicalnewstoday.com/articles/313185'}]}","{'source': {'description': 'Medical News Today is a web-based outlet for medical information and news, targeted at both the general public and physicians. All posted content is available online, and the earliest available article dates from May 2003.\nThe website has been owned by Healthline Media since 2016.', 'source_info_link': 'https://en.wikipedia.org/wiki/Medical_News_Today', 'icon': 'https://serpapi.com/searches/627cfeb72ff421d0610e878f/images/80f83d4d8ab856f180ad7583d7a17321ab96c2ef598c5af221691f23937818b9a40b80a9bbf1d74a87a19af215c01177.png'}, 'keywords': ['malnutrition'], 'languages': ['English'], 'regions': ['the United States']}",https://www.google.com/search?q=About+https://www.medicalnewstoday.com/articles/179316&tbm=ilp&ilps=ADNMCi0x-wDTLuuZGwZTH8v38Vf4w0cYTg,https://webcache.googleusercontent.com/search?q=cache:3a7TpAiU8MwJ:https://www.medicalnewstoday.com/articles/179316+&cd=12&hl=en&ct=clnk&gl=us,,,Malnutrition,en,US,53,,,,
3,4,Malnutrition - Wikipedia,https://en.wikipedia.org/wiki/Malnutrition,https://en.wikipedia.org › wiki › Malnutrition,,"Malnutrition occurs when an individual gets too few or too many nutrients, resulting in health problems. ... Specifically, it is ""a deficiency, excess, or ...",['Malnutrition'],"{'inline': [{'title': 'Classifying malnutrition', 'link': 'https://en.wikipedia.org/wiki/Malnutrition#Classifying_malnutrition'}, {'title': 'Causes & risk factors', 'link': 'https://en.wikipedia.org/wiki/Malnutrition#Causes_&_risk_factors'}, {'title': 'Prevention', 'link': 'https://en.wikipedia.org/wiki/Malnutrition#Prevention'}, {'title': 'Treatment', 'link': 'https://en.wikipedia.org/wiki/Malnutrition#Treatment'}]}","{'source': {'description': 'Wikipedia is a multilingual open online encyclopedia written and maintained by a community of volunteers through open collaboration and a wiki-based editing system. Individual contributors, also called editors, are known as Wikipedians. Wikipedia is the largest and most-read reference work in history.', 'source_info_link': 'https://en.wikipedia.org/wiki/Wikipedia', 'icon': 'https://serpapi.com/searches/627cfeb72ff421d0610e878f/images/80f83d4d8ab856f180ad7583d7a17321728c1335820282bfeba8384d63930bdb2311ddf83271c5929efeecf2110453ce.png'}, 'keywords': ['malnutrition'], 'languages': ['English'], 'regions': ['the United States']}",https://www.google.com/search?q=About+https://en.wikipedia.org/wiki/Malnutrition&tbm=ilp&ilps=ADNMCi1-YM5rsJdORrlGcSqdtbN70xqAaA,https://webcache.googleusercontent.com/search?q=cache:3GQmW41c8RUJ:https://en.wikipedia.org/wiki/Malnutrition+&cd=13&hl=en&ct=clnk&gl=us,https://www.google.com/search?gl=US&hl=en&q=related:https://en.wikipedia.org/wiki/Malnutrition+Malnutrition,,Malnutrition,en,US,53,,,,
4,5,Malnutrition - NHS,https://www.nhs.uk/conditions/malnutrition/,https://www.nhs.uk › conditions › malnutrition,,"Malnutrition is a serious condition that happens when your diet does not contain the right amount of nutrients. It means ""poor nutrition"" and can refer to:.",['Malnutrition'],,"{'source': {'description': 'www.nhs.uk was first indexed by Google more than 10 years ago', 'icon': 'https://serpapi.com/searches/627cfeb72ff421d0610e878f/images/80f83d4d8ab856f180ad7583d7a1732134ad1241ec26e0dc3a414801857cb9091a19f16cbaa6095a9f14a38a48c6afd2.png'}, 'keywords': ['malnutrition'], 'languages': ['English'], 'regions': ['the United States']}",https://www.google.com/search?q=About+https://www.nhs.uk/conditions/malnutrition/&tbm=ilp&ilps=ADNMCi26Bnt3c4QmKVt7HF_dB8Fe4Sd4Kw,https://webcache.googleusercontent.com/search?q=cache:9uyudDkkqCAJ:https://www.nhs.uk/conditions/malnutrition/+&cd=14&hl=en&ct=clnk&gl=us,,,Malnutrition,en,US,53,,,,
5,6,Malnutrition - MedlinePlus,https://medlineplus.gov/malnutrition.html,https://medlineplus.gov › Health Topics,"Feb 20, 2021","Food provides the energy and nutrients you need to be healthy. If you don't get enough nutrients -- including proteins, carbohydrates, fats, ...",,,"{'source': {'description': 'MedlinePlus is an online information service produced by the United States National Library of Medicine. The service provides curated consumer health information in English and Spanish with select content in additional languages.', 'source_info_link': 'https://en.wikipedia.org/wiki/MedlinePlus', 'icon': 'https://serpapi.com/searches/627cfeb72ff421d0610e878f/images/80f83d4d8ab856f180ad7583d7a173217ff52e1588fe2887cdda753223ff9ab44c0b8483c1b213897f3d34a302dcf456.png'}, 'keywords': ['malnutrition'], 'languages': ['English'], 'regions': ['the United States']}",https://www.google.com/search?q=About+https://medlineplus.gov/malnutrition.html&tbm=ilp&ilps=ADNMCi2vN69AjEsWX_YJiFws2HKW5AoWdw,https://webcache.googleusercontent.com/search?q=cache:lkhnv9CypzIJ:https://medlineplus.gov/malnutrition.html+&cd=15&hl=en&ct=clnk&gl=us,https://www.google.com/search?gl=US&hl=en&q=related:https://medlineplus.gov/malnutrition.html+Malnutrition,,Malnutrition,en,US,53,,,,
6,7,Malnutrition: causes and consequences - PMC - NCBI,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4951875/,https://www.ncbi.nlm.nih.gov › articles › PMC4951875,,"The term 'malnutrition' has no universally accepted definition. It has been used to describe a deficiency, excess or imbalance of a wide range of nutrients, ...",['malnutrition'],"{'inline': [{'title': 'Causes Of Malnutrition', 'link': 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4951875/#:~:text=Causes%20of%20malnutrition,-Malnutrition%20in%20developed%20countries%20is'}, {'title': 'Consequences Of Malnutrition', 'link': 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4951875/#:~:text=Consequences%20of%20malnutrition,-Malnutrition%20affects%20the%20function%20and'}, {'title': 'Assessment Of Nutritional...', 'link': 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4951875/#:~:text=Assessment%20of%20nutritional%20status,-Identification%20of%20patients%20at%20risk'}]}","{'source': {'description': 'The National Center for Biotechnology Information is part of the United States National Library of Medicine, a branch of the National Institutes of Health. It is approved and funded by the government of the United States.', 'source_info_link': 'https://en.wikipedia.org/wiki/National_Center_for_Biotechnology_Information', 'icon': 'https://serpapi.com/searches/627cfeb72ff421d0610e878f/images/80f83d4d8ab856f180ad7583d7a17321052f9e86433dac68c59c9fe7dabeae95ce1f46f7a4b3b53e6cbc9071685216a9.png'}, 'keywords': ['malnutrition'], 'languages': ['English'], 'regions': ['the United States']}",https://www.google.com/search?q=About+https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4951875/&tbm=ilp&ilps=ADNMCi2rjdaqy21AdLrgpLRsKFCS5JXDOg,,,"{'top': {'extensions': ['by J Saunders', '2010', 'Cited by 293 —'], 'detected_extensions': {'unknown': 2010, 'cited_by': 293}}}",Malnutrition,en,US,53,,,,
7,8,"Malnutrition: Definition, Symptoms and Treatment - Healthline",https://www.healthline.com/nutrition/malnutrition,https://www.healthline.com › nutrition › malnutrition,"Oct 10, 2018","What Is Malnutrition? ... Malnutrition is a condition that results from nutrient deficiency or overconsumption. Types of malnutrition include (1, ...","['Malnutrition', 'Malnutrition', 'malnutrition']",,"{'source': {'description': 'Healthline Media, Inc. is an American website and provider of health information headquartered in San Francisco, California. It was founded in its current form 2006 and established as a standalone entity in January 2016.', 'source_info_link': 'https://en.wikipedia.org/wiki/Healthline', 'icon': 'https://serpapi.com/searches/627cfeb72ff421d0610e878f/images/80f83d4d8ab856f180ad7583d7a1732131592105c672fb073f8cba019994317e2e2b0664882bb95a71c8f6d025b07bb4.png'}, 'keywords': ['malnutrition'], 'languages': ['English'], 'regions': ['the United States']}",https://www.google.com/search?q=About+https://www.healthline.com/nutrition/malnutrition&tbm=ilp&ilps=ADNMCi2voVBddF9Jv8WM-OoJOyVr6t3pIg,https://webcache.googleusercontent.com/search?q=cache:c4nyOK1dFCoJ:https://www.healthline.com/nutrition/malnutrition+&cd=17&hl=en&ct=clnk&gl=us,,,Malnutrition,en,US,53,,,,
8,9,Malnutrition in Children - UNICEF DATA,https://data.unicef.org/topic/nutrition/malnutrition/,https://data.unicef.org › Nutrition,,Nearly half of all deaths in children under 5 are attributable to undernutrition; undernutrition puts children at greater risk of dying from common ...,,"{'inline': [{'title': 'Resources', 'link': 'https://data.unicef.org/topic/nutrition/malnutrition/#:~:text=Resources,-book%20Publications'}, {'title': 'Notes On The Data', 'link': 'https://data.unicef.org/topic/nutrition/malnutrition/#:~:text=Notes%20on%20the%20data,-Indicators'}, {'title': 'Indicators', 'link': 'https://data.unicef.org/topic/nutrition/malnutrition/#:~:text=Indicators,-Indicator%20name'}]}","{'source': {'description': ""UNICEF, in full originally called the United Nations International Children's Emergency Fund, now officially United Nations Children's Fund, is an agency of the United Nations responsible for providing humanitarian and developmental aid to children worldwide."", 'source_info_link': 'https://en.wikipedia.org/wiki/UNICEF', 'icon': 'https://serpapi.com/searches/627cfeb72ff421d0610e878f/images/80f83d4d8ab856f180ad7583d7a1732187dd5982d7dc4f1a23e55af69366b7add9fe2aa6728b56dc4fa7ab58222d97cb.png'}, 'keywords': ['malnutrition'], 'languages': ['English'], 'regions': ['the United States']}",https://www.google.com/search?q=About+https://data.unicef.org/topic/nutrition/malnutrition/&tbm=ilp&ilps=ADNMCi10-boi9lXjBj_BiyQh04Tz33yWpA,https://webcache.googleusercontent.com/search?q=cache:RIZ-rrJoRDcJ:https://data.unicef.org/topic/nutrition/malnutrition/+&cd=18&hl=en&ct=clnk&gl=us,https://www.google.com/search?gl=US&hl=en&q=related:https://data.unicef.org/topic/nutrition/malnutrition/+Malnutrition,,Malnutrition,en,US,53,,,,
0,1,Food Security | IFPRI : International Food Policy Research ...,https://www.ifpri.org/topic/food-security,https://www.ifpri.org › topic › food-security,,"Food security, as defined by the United Nations' Committee on World Food Security, means that all people, at all times, have physical, social, and economic ...","['Food security', 'Food Security']","{'inline': [{'title': 'Food Security Portal', 'link': 'https://www.ifpri.org/topic/food-security#:~:text=Project-,Food%20Security%20Portal'}, {'title': 'Speed', 'link': 'https://www.ifpri.org/topic/food-security#:~:text=SPEED'}, {'title': 'The Water Energy Food Nexus', 'link': 'https://www.ifpri.org/topic/food-security#:~:text=The%20Water%20Energy%20Food%20Nexus'}]}","{'source': {'description': 'The International Food Policy Research Institute is an international agricultural research center founded in the early 1970s to improve the understanding of national agricultural and food policies to promote the adoption of innovations in agricultural technology.', 'source_info_link': 'https://en.wikipedia.org/wiki/International_Food_Policy_Research_Institute', 'icon': 'https://serpapi.com/searches/627cfeba8e02e41ac824e565/images/09c5722d3da6435dfe5c5228071d7112b29412ec8f00e4a88376dcbb9b25b9b75eaedec1b958e3736e6ef9f9dedb38d3.png'}, 'keywords': ['food', 'security'], 'languages': ['English'], 'regions': ['the United States']}",https://www.google.com/search?q=About+https://www.ifpri.org/topic/food-security&tbm=ilp&ilps=ADNMCi2zppMiRaaRDwv6xs4_cJ83e1_q0g,https://webcache.googleusercontent.com/search?q=cache:IWCNtnzrhc0J:https://www.ifpri.org/topic/food-security+&cd=12&hl=en&ct=clnk&gl=us,,,Food Security,en,US,54,,,,
